name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price
SALOMON Men's X Crest GTX Hiking Shoes;stores;Sportswear;https://m.media-amazon.com/images/I/81SnRISr-6L._AC_UL320_.jpg;https://www.amazon.in/SALOMON-Crest-Hiking-Castor-Shadow/dp/B07CZ4JRVT/ref=sr_1_5083?qid=1679149496&s=apparel&sr=1-5083;4.5;480;;
Merrell Men's J033323 Hiking Boot;stores;Sportswear;https://m.media-amazon.com/images/I/81t3ybk9hoL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Mens-Waterproof-Hiking-Walnut/dp/B07VRPGNZ3/ref=sr_1_1306?qid=1679149367&s=apparel&sr=1-1306;4.6;13,937;;₹22,848.71
LOOVIU Ice Cleats Snow Traction Cleats Crampon for Winter Snow Walking Hiking Climbing Ice Fishing, X-Large;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81T6aBlzLDL._AC_UL320_.jpg;https://www.amazon.in/LOOVIU-Traction-Crampon-Walking-Climbing/dp/B0BLH65LFQ/ref=sr_1_14741?qid=1679147715&s=shoes&sr=1-14741;;;₹5,20;₹7,43
New Era HAMSTEDE Nylon Waterproof All Seasons Sleeping Bag for Adults for Camping, Hiking and Adventure Trips ( Black );sports & fitness;Camping & Hiking;https://m.media-amazon.com/images/I/81tfkTM0m8L._AC_UL320_.jpg;https://www.amazon.in/HAMSTEDE-sleeping-SEASONS-Waterproof-Adventure/dp/B07BJL354H/ref=sr_1_3160?qid=1679217557&s=sports&sr=1-3160;Get;FREE Delivery by Amazon;₹1,40;₹4,08
Centrino Men Hiking Boots;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81TG+S46QML._AC_UL320_.jpg;https://www.amazon.in/Centrino-Black-Hiking-Boots-7-1246-04/dp/B07LC2TNF5/ref=sr_1_8607?qid=1679147495&s=shoes&sr=1-8607;3.4;410;₹839,00;₹2,20
Centrino Men Hiking Boots;stores;Sportswear;https://m.media-amazon.com/images/I/81TG+S46QML._AC_UL320_.jpg;https://www.amazon.in/Centrino-Black-Hiking-Boots-7-1246-04/dp/B07LC2TNF5/ref=sr_1_1575?qid=1679149377&s=apparel&sr=1-1575;3.4;410;₹839,00;₹2,20
Centrino Men Hiking Boots;stores;Sportswear;https://m.media-amazon.com/images/I/81TG+S46QML._AC_UL320_.jpg;https://www.amazon.in/Centrino-Black-Hiking-Boots-7-1246-04/dp/B07LC2TNF5/ref=sr_1_1586?qid=1679149379&s=apparel&sr=1-1586;3.4;410;₹839,00;₹2,20
Merrell Moab Adventure Mid Waterproof Hiking Boot Black 7 C/D US;stores;Sportswear;https://m.media-amazon.com/images/I/81TmIING-9L._AC_UL320_.jpg;https://www.amazon.in/Merrell-Adventure-Waterproof-Hiking-Black/dp/B01NAV6EGA/ref=sr_1_5995?qid=1679149530&s=apparel&sr=1-5995;4.4;1,442;;₹20,647.54
Merrell Men's Altalight Hiking Shoe;stores;Sportswear;https://m.media-amazon.com/images/I/81TWbxIa+yL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Altalight-Flame-9-5-M/dp/B005A78VJK/ref=sr_1_7173?qid=1679149576&s=apparel&sr=1-7173;4.5;266;;₹22,488.75
Nicholas 1107 Latest Stylish Casual Sports for Men | Lace up Lightweight Shoes for Running, Walking, Gym, Trekking, Hiking...;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81u5daQnHWL._AC_UL320_.jpg;https://www.amazon.in/Nicholas-Stylish-Sneakers-Lightweight-Trekking/dp/B08ZHVMKQ9/ref=sr_1_12587?qid=1679147640&s=shoes&sr=1-12587;4.0;1;₹791,00;₹999,00
Merrell Men's Chameleon Shift Ventilator Hiking Shoe Black/Red 11.5 D(M) US;stores;Sportswear;https://m.media-amazon.com/images/I/81ujSYZfmrL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Chameleon-Shift-Ventilator-Hiking/dp/B00KZO6GR2/ref=sr_1_6872?qid=1679149565&s=apparel&sr=1-6872;3.7;6;;₹17,989.20
Merrell Men's Moab 2 Vent Low Rise Hiking Boots Grey (Castle Rock) 6.5 UK;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81ujUbMJ0xL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Moab-Vent-Hiking-Earth/dp/B01HFA9S5K/ref=sr_1_5519?qid=1679147382&s=shoes&sr=1-5519;4.5;17,476;;₹17,989.20
Merrell Men's Moab 2 Vent Low Rise Hiking Boots Grey (Castle Rock) 6.5 UK;stores;Sportswear;https://m.media-amazon.com/images/I/81ujUbMJ0xL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Moab-Vent-Hiking-Earth/dp/B01HFA9S5K/ref=sr_1_8?qid=1679149324&s=apparel&sr=1-8;4.5;17,476;;₹17,989.20
Skyline 60L Unisex Hiking/Trekking/Travelling/Camping Backpack Bag Rucksack Bag with Warranty-Grey 2407;sports & fitness;Camping & Hiking;https://m.media-amazon.com/images/I/81uLat2ORTL._AC_UL320_.jpg;https://www.amazon.in/Skyline-Trekking-Travelling-Backpack-Warranty-Grey/dp/B077JYK21C/ref=sr_1_3567?qid=1679217565&s=sports&sr=1-3567;5.0;1;₹1,15;₹4,00
Centrino Mens S5534 Hiking Shoes;stores;Sportswear;https://m.media-amazon.com/images/I/81uPXjkKLyL._AC_UL320_.jpg;https://www.amazon.in/Centrino-S5534-Hiking-Shoes-7-S5534-01/dp/B0869PJQXT/ref=sr_1_1218?qid=1679149364&s=apparel&sr=1-1218;3.1;27;₹839,00;₹2,20
Salomon Men's X Crest Hiking Shoes;stores;Sportswear;https://m.media-amazon.com/images/I/81vBnPJzB4L._AC_UL320_.jpg;https://www.amazon.in/SALOMON-Crest-Hiking-Stormy-Weather/dp/B07CZ2VMMR/ref=sr_1_5087?qid=1679149496&s=apparel&sr=1-5087;4.4;184;;₹17,276.47
Columbia Men's Bi3970 Hiking Shoe;stores;Sportswear;https://m.media-amazon.com/images/I/81vjdibzpEL._AC_UL320_.jpg;https://www.amazon.in/Columbia-Newton-Ridge-Waterproof-Hiking/dp/B00KWK8V72/ref=sr_1_6873?qid=1679149565&s=apparel&sr=1-6873;4.5;3,509;;₹14,62
Merrell Men's Alverstone Waterproof Hiking Shoe;stores;Sportswear;https://m.media-amazon.com/images/I/81w3mFszc9L._AC_UL320_.jpg;https://www.amazon.in/Merrell-Alverstone-Waterproof-Width-Castlerock/dp/B07GSH9ZQK/ref=sr_1_4818?qid=1679149487&s=apparel&sr=1-4818;4.4;697;;₹22,497.75
Bacca Bucci HIKE 5-Eye Moto Inspired Light weighted Mountaineering Backpacking Trekking/Hiking Boots for Men for beginners;stores;Men's Fashion;https://m.media-amazon.com/images/I/81w9yb+3M-L._AC_UL320_.jpg;https://www.amazon.in/Bacca-Inspired-Mountaineering-Backpacking-Beginners/dp/B09TWXGHV2/ref=sr_1_8916?qid=1679151084&s=apparel&sr=1-8916;4.0;232;₹1,40;₹3,00
